Proyecto,CARTERA,COMERCIAL,COMPRAS,CONTROL DE COSTOS,COORDINACION,PROYECTOS,DISEÑO,ESTRUCTURACION,OBRA,ORIGINACION,PRESUPUESTO,PUBLICIDAD,SERVICIO AL CLIENTE,TRAMITES
Reserva de Oporto,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Bosque Central,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Azul Celeste,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO
Gaia,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
La Hacienda,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Mitika,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO
Primera Este,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Praia,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Castilla Imperial,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
Castilla Imperial VIS,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
Azul Turquesa,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO
Verde Vivo,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO
Well Calle 100,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
